smiles,pathways,superclasses,classes,class_results,superclass_results,pathway_results,isglycoside
CCCCCCCC(=O)NC(CCC(=O)OC)C(=O)NC1C(=O)NC(CCCN=C(N)N)C(=O)NC2CCC(O)N(C2=O)C(Cc2ccccc2)C(=O)N(C)C(Cc2ccc(O)cc2)C(=O)NC(C(C)C)C(=O)OC1C,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides', 'Lipopeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
O=C(O)CCCCCCCCCBr,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
O=C(O)CCCCCCCCCCCCCF,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=NNc3ccccc3)c2O)c(C)c1O,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
CCC(C)C1NC(=O)C(Cc2ccc(OC)cc2)N(C)C(=O)C(C(C)O)N2C(=O)C(CCC2O)NC(=O)C(CCc2ccc(O)cc2)NC(=O)C(NC(=O)C(CCC(N)=O)NC(=O)C2CCCN2C=O)C(C)OC1=O,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
Cn1c[n+](C2OC(CO)C(O)C2O)c2[nH]c(=O)[nH]c(=O)c21,['Carbohydrates'],['Nucleosides'],['Purine nucleosides'],"['Purine alkaloids', 'Purine nucleos(t)ides']","['Pseudoalkaloids', 'Nucleosides']","['Alkaloids', 'Carbohydrates']",False
CC(C)C1NC(=O)c2csc(n2)C(C(C)C)NC(=O)c2coc(n2)C(C(C)C)NC(=O)C(C(C)O)NC1=O,['Amino acids and Peptides'],['Oligopeptides'],['Cyclamides'],['Cyclic peptides'],['Oligopeptides'],['Amino acids and Peptides'],False
O=C1C(=Cc2cc(O)c(O)cc2C2C(=O)c3ccc(O)cc3OC2c2ccc(O)c(O)c2)Oc2cc(O)ccc21,['Shikimates and Phenylpropanoids'],['Flavonoids'],['Flavanones'],['Aurones'],['Flavonoids'],['Shikimates and Phenylpropanoids'],False
CC(=O)OC1CC23COC(=O)C2=CCC2c4occc4C(=O)CC(C)(C1C)C23O,['Terpenoids'],['Diterpenoids'],['Colensane and Clerodane diterpenoids'],['Tetracyclic diterpenoids'],['Diterpenoids'],['Terpenoids'],False
CCCCCCCC(=O)NC(CCC(=O)O)C(=O)NC1C(=O)NC(CCCCN)C(=O)NC2CCC(O)N(C2=O)C(CC(C)C)C(=O)N(C)C(Cc2ccc(O)cc2)C(=O)NC(C(C)C)C(=O)OC1C,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Cyclic peptides', 'Depsipeptides', 'Lipopeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CCCCCC(=O)NCC(=O)NC(C(=O)NC1C(=O)NC(CCC(N)=O)C(=O)NC2CCC(O)N(C2=O)C(Cc2ccccc2)C(=O)N(C)C(Cc2c[nH]c3ccccc23)C(=O)NC(C(C)C)C(=O)OC1C)C(C)O,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides', 'Lipopeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
O=C(O)[C@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@@H]1O,['Shikimates and Phenylpropanoids'],['Flavonoids'],['Flavones'],['Flavonols'],['Flavonoids'],['Shikimates and Phenylpropanoids'],True
CC1=CCC(C)(C)C=CCC2(C)OC3=C(CC2CC1)C1(C)C(CC2CC(C)(C(=O)O)CC21)C3=O,['Terpenoids'],['Sesquiterpenoids'],['Humulane sesquiterpenoids'],['Hirsutane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
CC(C(=O)O)C1(CCc2ccoc2)OC(O)C2C(C)(C)CCCC21C,['Terpenoids'],['Diterpenoids'],['Norlabdane diterpenoids'],['Secolabdane diterpenoids'],['Diterpenoids'],['Terpenoids'],True
CC1CC2CC3(CC(C)CC3C1)C(C)CC1C2C1(C)C,['Terpenoids'],['Diterpenoids'],['Ingenane diterpenoids'],['Tigliane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
CC1(CO)CC2C(O)C3=C(CO)CCC3(C)C2C1,['Terpenoids'],['Sesquiterpenoids'],['Hirsutane sesquiterpenoids'],['Protoilludane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
Cc1cc(O)cc2c1C(=O)Oc1cc3c(c(O)c1O2)C(=O)OC3,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
COc1c(C)c2c(c(C)c1Cl)Oc1c(C)c(O)c(Cl)c(C)c1C(=O)O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
CC=CC1OC1(C)C1CCC2C3=CC(=O)C4CC(=CCC(O)C4)C3CCC21C,['Terpenoids'],['Steroids'],['Cholestane steroids'],['Pregnane steroids'],['Steroids'],['Terpenoids'],False
CCCCCC/C(Br)=C\C(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],"['Branched fatty acids', 'Unsaturated fatty acids']",['Fatty Acids and Conjugates'],['Fatty acids'],False
CCCc1cc(OC)cc(O)c1C(=O)Oc1c(OC)cc(CCC)c(C(=O)O)c1O,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
CC(=O)C1=C(O)C=C2Oc3c(C(N)=O)c(O)c(C)c(O)c3C2(C)C1=O,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Usnic acid and derivatives'],['Aromatic polyketides'],['Polyketides'],False
CCC(C)C1NC(=O)C(C(C)O)NC(=O)C(C(C)C)NC(=O)C(C(C)O)NC(=O)C(C)NC(=O)c2csc1n2,['Amino acids and Peptides'],['Oligopeptides'],['Cyclamides'],['Cyclic peptides'],['Oligopeptides'],['Amino acids and Peptides'],False
CCC1CC(=O)OC(C)C(=O)N(C)C(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(C)c2nc(cs2)C(=O)N1,['Amino acids and Peptides'],['Oligopeptides'],['Cyclamides'],"['Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CC1(C)CC(=O)c2cc(O)cc(CC(=O)O)c2O1,['Terpenoids'],['Meroterpenoids'],['Miscellaneous meroterpenoids'],['Merohemiterpenoids'],['Meroterpenoids'],['Terpenoids'],False
C=C1C(=O)OC2CC(C)C3C4CC(=O)C3(CO4)CC12,['Terpenoids'],['Sesquiterpenoids'],['Pseudoguaiane sesquiterpenoids'],['Germacrane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
COc1cc(Oc2c(O)c(C)c(OC)c(C(C)=O)c2O)c(C(C)=O)c(O)c1C,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
COC1=C2C(C)(C)C(=O)C=C[C@@]2(C)c2c(cc(C)c(O)c2O)C1=O,['Terpenoids'],['Diterpenoids'],['Norpimarane and Norisopimarane diterpenoids'],['Podocarpane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
CCCCCC(=O)Cc1cc(OC)cc(O)c1C(=O)Oc1cc(CCCCC)c(C(=O)O)c(OC)c1,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
CC(=O)OC1CC2OCC2(OC(C)=O)C2C(O)C3CC(O)C4(C)OCC3(C)C4(O)C(O)C(=O)C12C,['Terpenoids'],['Diterpenoids'],['Taxane diterpenoids'],['Tetracyclic diterpenoids'],['Diterpenoids'],['Terpenoids'],False
CCCCCCCCCCCCCCC(Cl)C(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Branched fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CC1(C)C=Cc2c(ccc(C3COc4cc(O)ccc4C3)c2O)O1,['Shikimates and Phenylpropanoids'],['Isoflavonoids'],['Pterocarpan'],['Isoflavanones'],['Isoflavonoids'],['Shikimates and Phenylpropanoids'],False
O[C@@H]1c2ccccc2-c2c3c(cc4c2[C@H]1NCC4)OCO3,['Alkaloids'],['Tyrosine alkaloids'],['Isoquinoline alkaloids'],['Aporphine alkaloids'],['Tyrosine alkaloids'],['Alkaloids'],False
CC(=O)OCC[C@@]1(C)[C@H](C2=C[C@H](O)[C@H]3C[C@@H](O)CC[C@]3(C)C2=O)CC[C@@H]1[C@H](C)/C=C/C(C)C,['Terpenoids'],['Steroids'],['Vitamin D3 and derivatives'],['Cholestane steroids'],['Steroids'],['Terpenoids'],False
C=C1C(=O)O[C@@H](CCCCCCCCCCCCC[C@@H](C)OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)[C@H]1C(=O)O,['Fatty acids'],['Fatty acyls'],['Paraconic acids and derivatives'],['Resin glycosides'],['Fatty acyls'],['Fatty acids'],True
CCC(C)C1NC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)CC)N2C(=O)C(CCC2O)NC(=O)C(CCCN=C(N)N)NC(=O)C(NC(=O)C(O)CO)C(C)OC1=O,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
COc1cc(C)c(C)c(OC(=O)c2c(C)c(C=O)c(O)c(C=O)c2O)c1C,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
COC(=O)c1c(C)c(Cc2c(O)c(C(=O)O)c(C)c3c2Oc2c(C=O)c(O)cc(C)c2C(=O)O3)c(O)c(C)c1O,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],"['Depsides', 'Depsidones']",['Aromatic polyketides'],['Polyketides'],False
CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C(C(C)O)N2C(=O)C(CCC2O)NC(=O)C(CCCN=C(N)N)NC(=O)C(NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(O)COS(=O)(=O)O)C(C)OC1=O,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CCCc1cc(OC)cc2c1C(=O)Oc1cc(O)c(C(=O)O)c(CCC)c1O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Usnic acid and derivatives'],['Aromatic polyketides'],['Polyketides'],False
C=C1C(=O)OC2C1CCC1(C)C(O)C=CC3(C)OC231,['Terpenoids'],['Sesquiterpenoids'],['Cycloeudesmane sesquiterpenoids'],['Germacrane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
CCCCCCCCCCCCCC(Br)CC(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Branched fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
COc1c(C)c(OC(=O)c2c(C)c(C)c(OC(=O)c3c(C)c(Oc4c(C)c(C)c(C(=O)Oc5c(C)c(C)c(C(=O)O)c(OC)c5C)c(OC)c4C)c(O)c(C)c3O)c(C)c2OC)c(C)c(C)c1C(=O)O,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
COc1c(O)ccc2c1Oc1c3c(cc(O)c1C(=O)O2)OC(C)(C)C=C3,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
CCCCCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(CCCN=C(N)N)C(=O)NC2CCC(O)N(C2=O)C(C(C)CC)C(=O)N(C)C(CC(=O)c2ccccc2N)C(=O)NC(C(C)C)C(=O)OC1C,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides', 'Lipopeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CC1(C)CCCC2(C)C1C(O)CC1(C)OCCCC12,['Terpenoids'],['Diterpenoids'],['Labdane diterpenoids'],['Norlabdane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
COc1c(C)c(O)cc(C)c1C(=O)Oc1c(C)c(C)c(C(=O)Oc2cc(C)c(C(=O)O)c(OC)c2C)c(OC)c1C,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
COC(=O)c1c(C)c(OC(=O)c2c(C)cc(O)c(C=O)c2O)cc(C)c1O,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
CCOC12CC(=O)C(C(C)=O)=C(O)C1(C)c1c(O)c(C)c(O)c(C(C)=O)c1O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Usnic acid and derivatives'],['Aromatic polyketides'],['Polyketides'],False
O=C(O)/C=C/Cl,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Straight chain fatty acids'],"['Hydroxy fatty acids', 'Unsaturated fatty acids']",['Fatty Acids and Conjugates'],['Fatty acids'],False
CC=C(C)c1cc(OC)c(C)c2c1Oc1c(CO)c(O)cc(C(C)=CC(=O)O)c1C(=O)O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
CCC(C)C1NC(=O)C(Cc2ccc(OC)cc2)N(C)C(=O)C(C(C)O)N2C(=O)C(CCC2O)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CCC(N)=O)NC(=O)C(CCc2ccc(O)cc2)NC(=O)C(O)CO)C(C)OC1=O,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
Cc1cc(O)cc2c1Oc1cc(O)cc(C)c1C(=O)O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
COC(=O)CCCC#CC#CCCCCCCCCC=C(Br)Br,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CCCCCc1cc(OC(=O)c2c(O)cc(OC)cc2CCCCC)cc(O)c1C(=O)O,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
C=C(C)C1=C2CC(C)C(=O)C(O)C2C(C)CC1,['Terpenoids'],['Sesquiterpenoids'],['Cadinane sesquiterpenoids'],['Guaiane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
C=C1CCC2CC3CC(C)(C)CC3C12C,['Terpenoids'],['Sesquiterpenoids'],['Hirsutane sesquiterpenoids'],['Africanane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
Cc1c2c(cc3c1C(=O)C(=O)C1=C3OCC1C)C(C)(C)CCC2,['Terpenoids'],['Diterpenoids'],['Abeoabietane diterpenoids'],"['Abietane diterpenoids', 'Furanoabietane diterpenoids']",['Diterpenoids'],['Terpenoids'],False
Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(C)c(O)c(C(=O)O)c(C)c1O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
O=C(O)CCCC#CC#CCCCCCC/C=C/C=C/Br,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
Cc1cc(O)c(C=O)c(O)c1C(=O)OCc1cc(O)c(C)c(O)c1C(=O)O,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
CC=C(C)c1cc(O)c(C)c2c1Oc1c(C)c(O)cc(C(C)=CC)c1C(=O)O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
CCCCCc1cc(OC(=O)c2c(O)cc(OC)cc2CCC(=O)CC)cc(O)c1C(=O)O,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
CCCCCCCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(CCCCC(=N)N)C(=O)NC2CCC(O)C(C2=O)N(Cc2ccccc2)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(C(C)C)C(=O)OC1C,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Cyclic peptides', 'Depsipeptides', 'Lipopeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CC12CCC3C(/C=C(/C4CCC(=O)C5C6C(CCC45C)C6(C)C)CCC1O2)C3(C)C,['Terpenoids'],['Sesquiterpenoids'],['Cyclogermacrane sesquiterpenoids'],['Cycloeudesmane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
CC(C)CC1NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C(O)Cc2ccc(O)cc2)C(C)OC(=O)C(C(C)C)NC(=O)C(Cc2ccccc2)N(C)C(=O)C(CC(C)C)N2C=CCC(NC1=O)C2=O,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CC(C)=CCCC(C)=CCc1c(O)cc2c(c1O)C(=O)Oc1c(cc(O)c(O)c1CC=C(C)C)O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
CC(CCC(O)C(C)C)CC(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Hydroxy fatty acids'],['Branched fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
C=CC(C)C(C)CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CC(C)C12,['Terpenoids'],['Steroids'],['Ergostane steroids'],['Cholestane steroids'],['Steroids'],['Terpenoids'],False
CC(=O)CCC(C)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C,['Terpenoids'],['Steroids'],['Cholane steroids'],['Cholestane steroids'],['Steroids'],['Terpenoids'],False
O=C(O)CCCCCCCCCCCCl,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Dicarboxylic acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
O=C(O)CCCC#CC#C/C=C/CCCCCCC=C(Br)Br,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
COc1cc(C2Oc3c(ccc4ccc(=O)oc34)OC2(O)C2Oc3ccc4ccc(=O)oc4c3O2)cc(OC)c1O,['Shikimates and Phenylpropanoids'],['Coumarins'],['Simple coumarins'],['Coumarinolignans'],"['Coumarins', 'Lignans']",['Shikimates and Phenylpropanoids'],False
C=C1CC23CCC4C(CCC4(C)C(=O)O)C(=C)C2CCC1C3,['Terpenoids'],['Diterpenoids'],['Grayanotoxane diterpenoids'],['Gibberellins'],['Diterpenoids'],['Terpenoids'],False
CCCCCCCCCCC(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Straight chain fatty acids'],"['Branched fatty acids', 'Unsaturated fatty acids']",['Fatty Acids and Conjugates'],['Fatty acids'],False
CCCCCCC/C=C/C(=O)CCCCCCCCCC(CCCCCCC)C(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Oxo fatty acids'],['Branched fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CCCC(=O)c1c(O)c(CC2C(=O)C(C(C)=O)C(=O)C(C)(C)C2=O)c(O)c(CC2C(=O)C(C(=O)CC)C(=O)C(C)(C)C2=O)c1O,['Polyketides'],['Phloroglucinols'],['Oligomeric phloroglucinols (phlorotannins)'],['Dimeric phloroglucinols'],['Phloroglucinols'],['Polyketides'],False
CCCCCCCC(=O)NC(CCC(=O)O)C(=O)NC1C(=O)NC(CCCN=C(N)N)C(=O)NC2CCC(O)N(C2=O)C(Cc2ccccc2)C(=O)N(C)C(Cc2ccc(O)cc2)C(=O)NC(C(C)C)C(=O)OC1C,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides', 'Lipopeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CCCC(=O)NC(Cc1ccccc1)C(=O)NC(CCC(=O)OC)C(=O)NC1C(=O)NC(Cc2ccc(O)cc2)C(=O)NC2CCC(O)N(C2=O)C(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(C(C)CC)C(=O)OC1C,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CC(C)C(=O)CCC1C(C(=O)O)=CCC2C(C)(C(=O)O)CCCC12C,['Terpenoids'],['Diterpenoids'],['Norlabdane diterpenoids'],['Podocarpane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
